Created Date,Closed Date,Duration,Location Type,Incident Zip,City,Borough,Latitude,Longitude
2015-12-31 10:57:44,2015-12-31 11:30:09,0:32,Residential Building/House,11209,BROOKLYN,BROOKLYN,40.62515765,-74.02310945
2015-12-31 11:02:58,2015-12-31 15:36:17,4:33,Residential Building/House,11365,FRESH MEADOWS,QUEENS,40.73491319,-73.81062326
2015-12-31 11:05:01,2015-12-31 14:19:01,3:14,Residential Building/House,10030,NEW YORK,MANHATTAN,40.81578666,-73.94482282
2015-12-31 11:13:59,2015-12-31 17:07:01,5:53,Residential Building/House,10040,NEW YORK,MANHATTAN,40.85844745,-73.92927889
2015-12-31 11:16:44,2015-12-31 14:51:19,3:34,Store/Commercial,10026,NEW YORK,MANHATTAN,40.80592625,-73.95425521
2015-12-31 11:44:39,2015-12-31 15:42:44,3:58,Residential Building/House,10453,BRONX,BRONX,40.85633849,-73.9016486
2015-12-31 11:46:56,2015-12-31 15:29:39,3:42,Residential Building/House,10461,BRONX,BRONX,40.85084522,-73.85180368
2015-12-31 11:51:25,2015-12-31 18:59:37,7:08,Residential Building/House,10024,NEW YORK,MANHATTAN,40.7893805,-73.96917761
2015-12-31 11:58:31,2015-12-31 15:35:10,3:36,Residential Building/House,10456,BRONX,BRONX,40.8196324,-73.91045338
2015-12-31 12:01:10,2015-12-31 15:21:45,3:20,Residential Building/House,11207,BROOKLYN,BROOKLYN,40.66644495,-73.90025605
2015-12-31 12:41:23,2015-12-31 14:57:37,2:16,Residential Building/House,11218,BROOKLYN,BROOKLYN,40.63892746,-73.9732502
2015-12-31 12:46:50,2015-12-31 15:13:55,2:27,Residential Building/House,10031,NEW YORK,MANHATTAN,40.82416166,-73.95297806
2015-12-31 12:51:14,2015-12-31 16:03:59,3:12,Residential Building/House,10029,NEW YORK,MANHATTAN,40.79878003,-73.9441579
2015-12-31 12:52:28,2015-12-31 15:15:00,2:22,Residential Building/House,10451,BRONX,BRONX,40.8252058,-73.91626681
2015-12-31 12:53:48,2015-12-31 15:04:05,2:10,Club/Bar/Restaurant,10465,BRONX,BRONX,40.82837372,-73.8240774
2015-12-31 12:57:47,2016-01-01 1:09:31,12:11,Residential Building/House,10456,BRONX,BRONX,40.83484296,-73.91317937
2015-12-31 12:58:55,2015-12-31 15:09:38,2:10,Residential Building/House,10456,BRONX,BRONX,40.83484296,-73.91317937
2015-12-31 13:00:08,2015-12-31 15:09:37,2:09,Residential Building/House,10456,BRONX,BRONX,40.83484296,-73.91317937
2015-12-31 13:04:18,2015-12-31 15:20:36,2:16,Residential Building/House,10467,BRONX,BRONX,40.87148993,-73.86918924
2015-12-31 13:10:03,2015-12-31 16:17:40,3:07,Residential Building/House,11226,BROOKLYN,BROOKLYN,40.64956272,-73.9609212
2015-12-31 13:11:23,2015-12-31 17:08:06,3:56,Residential Building/House,10040,NEW YORK,MANHATTAN,40.85405749,-73.93186814
2015-12-31 13:13:17,2015-12-31 16:02:48,2:49,Residential Building/House,10029,NEW YORK,MANHATTAN,40.79589753,-73.94892047
2015-12-31 13:19:13,2015-12-31 15:43:53,2:24,Residential Building/House,10463,BRONX,BRONX,40.87698471,-73.89916999
2015-12-31 13:35:34,2015-12-31 14:12:23,0:36,Store/Commercial,11237,BROOKLYN,BROOKLYN,40.69883914,-73.91812413
2015-12-31 13:37:19,2015-12-31 17:08:07,3:30,Residential Building/House,10040,NEW YORK,MANHATTAN,40.85844745,-73.92927889
2015-12-31 13:40:53,2015-12-31 19:37:52,5:56,Store/Commercial,10029,NEW YORK,MANHATTAN,40.79901529,-73.94257212
2015-12-31 13:43:40,2015-12-31 17:08:09,3:24,Residential Building/House,10034,NEW YORK,MANHATTAN,40.86326314,-73.92302652
2015-12-31 13:46:21,2015-12-31 14:15:42,0:29,Store/Commercial,10028,NEW YORK,MANHATTAN,40.77543748,-73.95350711
2015-12-31 13:46:52,2015-12-31 14:15:44,0:28,Store/Commercial,10028,NEW YORK,MANHATTAN,40.77543748,-73.95350711
2015-12-31 13:49:14,2015-12-31 21:15:31,7:26,Residential Building/House,10461,BRONX,BRONX,40.84413376,-73.82948244
2015-12-31 13:50:47,2015-12-31 15:05:09,1:14,Residential Building/House,11225,BROOKLYN,BROOKLYN,40.66834786,-73.96052088
2015-12-31 13:52:35,2016-01-01 3:03:47,13:11,Residential Building/House,11224,BROOKLYN,BROOKLYN,40.57362629,-73.99503251
2015-12-31 13:54:40,2015-12-31 18:02:55,4:08,Residential Building/House,11236,BROOKLYN,BROOKLYN,40.63492074,-73.88794509
